season,team
2017,TCU
2017,Temple
2017,Tennessee
2017,Texas A&M
2017,Texas Tech
2017,Toledo
2017,UAB
2017,UCLA
2017,Massachusetts
2017,UNLV
2017,USC
2017,UTSA
2017,Virginia
2017,Virginia Tech
2017,Washington
2017,Western Michigan
2017,Wisconsin
2017,Wyoming
2017,San Diego State
2017,Utah
2017,Wake Forest
2017,UCF
2017,Tulane
2017,Tulsa
2017,Texas
2017,West Virginia
2017,Vanderbilt
2017,Washington State
2017,Syracuse
2017,Troy
2017,Utah State
2017,Texas State
2017,Western Kentucky
2017,UTEP
2017,Northwestern
2017,Florida International
2017,Missouri
2017,Minnesota
2017,Illinois
2017,San José State
2017,Oklahoma
2017,Army
2017,Alabama
2017,Kansas State
2017,Maryland
2017,Louisville
2017,Pittsburgh
2017,Indiana
2017,Nebraska
2017,Northern Illinois
2017,Georgia Southern
2017,Liberty
2017,Houston
2017,Middle Tennessee
2017,Memphis
2017,Kentucky
2017,Georgia Tech
2017,Arizona State
2017,UConn
2017,Boston College
2017,North Carolina
2017,Old Dominion
2017,Coastal Carolina
2017,Georgia State
2017,LSU
2017,North Texas
2017,Clemson
2017,Fresno State
2017,Arkansas
2017,Florida State
2018,Akron
2018,Air Force
2018,App State
2018,Arizona
2018,Arkansas State
2018,Auburn
2018,Ball State
2018,Baylor
2018,Boise State
2018,Buffalo
2018,BYU
2018,California
2018,Central Michigan
2018,Charlotte
2018,Cincinnati
2018,Colorado
2018,Colorado State
2018,Duke
2018,East Carolina
2018,Eastern Michigan
2018,Florida
2018,Florida Atlantic
2018,South Alabama
2018,Bowling Green
2018,UL Monroe
2018,Georgia
2018,Hawai'i
2018,Iowa
2018,Iowa State
2018,James Madison
2018,Kansas
2018,Kent State
2018,Louisiana
2018,Louisiana Tech
2018,Marshall
2018,Miami
2018,Miami (OH)
2018,Michigan
2018,Michigan State
2018,Mississippi State
2018,Navy
2018,NC State
2018,Nevada
2018,New Mexico State
2018,Notre Dame
2018,Ohio
2018,Ohio State
2018,Oklahoma State
2018,Ole Miss
2018,Oregon
2018,Oregon State
2018,Penn State
2018,Purdue
2018,Rice
2018,Rutgers
2018,SMU
2018,New Mexico
2018,South Carolina
2018,Southern Miss
2018,South Florida
2018,Stanford
2018,TCU
2018,Temple
2018,Tennessee
2018,Texas A&M
2018,Texas Tech
2018,Toledo
2018,UAB
2018,UCLA
2018,Massachusetts
2018,UNLV
2018,USC
2018,UTSA
2018,Virginia
2018,Virginia Tech
2018,Washington
2018,Western Michigan
2018,Wisconsin
2018,Wyoming
2018,San Diego State
2018,Utah
2018,Wake Forest
2018,UCF
2018,Tulane
2018,Tulsa
2018,Texas
2018,West Virginia
2018,Vanderbilt
2018,Washington State
2018,Syracuse
2018,Troy
2018,Utah State
2018,Texas State
2018,Western Kentucky
2018,UTEP
2018,Northwestern
2018,Florida International
2018,Missouri
2018,Minnesota
2018,Illinois
2018,San José State
2018,Oklahoma
2018,Army
2018,Alabama
2018,Kansas State
2018,Maryland
2018,Louisville
2018,Pittsburgh
2018,Indiana
2018,Nebraska
2018,Northern Illinois
2018,Georgia Southern
2018,Liberty
2018,Houston
2018,Middle Tennessee
2018,Memphis
2018,Kentucky
2018,Georgia Tech
2018,Arizona State
2018,UConn
2018,Boston College
2018,North Carolina
2018,Old Dominion
2018,Coastal Carolina
2018,Georgia State
2018,Kennesaw State
2018,LSU
2018,North Texas
2018,Clemson
2018,Fresno State
2018,Arkansas
2018,Florida State
2019,Sam Houston
2019,Akron
2019,Air Force
2019,App State
2019,Arizona
2019,Arkansas State
2019,Auburn
2019,Ball State
2019,Baylor
2019,Boise State
2019,Buffalo
2019,BYU
2019,California
2019,Central Michigan
2019,Charlotte
2019,Cincinnati
2019,Colorado
2019,Colorado State
2019,Duke
2019,East Carolina
2019,Eastern Michigan
2019,Florida
2019,Florida Atlantic
2019,South Alabama
2019,Bowling Green
2019,UL Monroe
2019,Georgia
2019,Hawai'i
2019,Iowa
2019,Iowa State
2019,James Madison
2019,Kansas
2019,Kent State
2019,Louisiana
2019,Louisiana Tech
2019,Marshall
2019,Miami
2019,Miami (OH)
2019,Michigan
2019,Michigan State
2019,Mississippi State
2019,Navy
2019,NC State
2019,Nevada
2019,New Mexico State
2019,Notre Dame
2019,Ohio
2019,Ohio State
2019,Oklahoma State
2019,Ole Miss
2019,Oregon
2019,Oregon State
2019,Penn State
2019,Purdue
2019,Rice
2019,Rutgers
2019,SMU
2019,New Mexico
2019,South Carolina
2019,Southern Miss
2019,South Florida
2019,Stanford
2019,TCU
2019,Temple
2019,Tennessee
2019,Texas A&M
2019,Texas Tech
2019,Toledo
2019,UAB
2019,UCLA
2019,Massachusetts
2019,UNLV
2019,USC
2019,UTSA
2019,Virginia
2019,Virginia Tech
2019,Washington
2019,Western Michigan
2019,Wisconsin
2019,Wyoming
2019,San Diego State
2019,Utah
2019,Wake Forest
2019,UCF
2019,Tulane
2019,Tulsa
2019,Texas
2019,West Virginia
2019,Vanderbilt
2019,Washington State
2019,Syracuse
2019,Troy
2019,Utah State
2019,Texas State
2019,Western Kentucky
2019,UTEP
2019,Northwestern
2019,Florida International
2019,Missouri
2019,Minnesota
2019,Illinois
2019,San José State
2019,Oklahoma
2019,Army
2019,Alabama
2019,Kansas State
2019,Maryland
2019,Louisville
2019,Pittsburgh
2019,Indiana
2019,Nebraska
2019,Northern Illinois
2019,Georgia Southern
2019,Liberty
2019,Houston
2019,Middle Tennessee
2019,Memphis
2019,Kentucky
2019,Georgia Tech
2019,Arizona State
2019,UConn
2019,Boston College
2019,North Carolina
2019,Old Dominion
2019,Coastal Carolina
2019,Georgia State
2019,Kennesaw State
2019,LSU
2019,North Texas
2019,Clemson
2019,Fresno State
2019,Arkansas
2019,Florida State
2020,Jacksonville State
2020,Akron
2020,Air Force
2020,App State
2020,Arizona
2020,Arkansas State
2020,Auburn
2020,Ball State
2020,Baylor
2020,Boise State
2020,Buffalo
2020,BYU
2020,California
2020,Central Michigan
2020,Charlotte
2020,Cincinnati
2020,Colorado
2020,Colorado State
2020,Duke
2020,East Carolina
2020,Eastern Michigan
2020,Florida
2020,Florida Atlantic
2020,South Alabama
2020,Bowling Green
2020,UL Monroe
2020,Georgia
2020,Hawai'i
2020,Iowa
2020,Iowa State
2020,Kansas
2020,Kent State
2020,Louisiana
2020,Louisiana Tech
2020,Marshall
2020,Miami
2020,Miami (OH)
2020,Michigan
2020,Michigan State
2020,Mississippi State
2020,Navy
2020,NC State
2020,Nevada
2020,Notre Dame
2020,Ohio
2020,Ohio State
2020,Oklahoma State
2020,Ole Miss
2020,Oregon
2020,Oregon State
2020,Penn State
2020,Purdue
2020,Rice
2020,Rutgers
2020,SMU
2020,New Mexico
2020,South Carolina
2020,Southern Miss
2020,South Florida
2020,Stanford
2020,TCU
2020,Temple
2020,Tennessee
2020,Texas A&M
2020,Texas Tech
2020,Toledo
2020,UAB
2020,UCLA
2020,Massachusetts
2020,UNLV
2020,USC
2020,UTSA
2020,Virginia
2020,Virginia Tech
2020,Washington
2020,Western Michigan
2020,Wisconsin
2020,Wyoming
2020,San Diego State
2020,Utah
2020,Wake Forest
2020,UCF
2020,Tulane
2020,Tulsa
2020,Texas
2020,West Virginia
2020,Vanderbilt
2020,Washington State
2020,Syracuse
2020,Troy
2020,Utah State
2020,Texas State
2020,Western Kentucky
2020,UTEP
2020,Northwestern
2020,Florida International
2020,Missouri
2020,Minnesota
2020,Illinois
2020,San José State
2020,Oklahoma
2020,Army
2020,Alabama
2020,Kansas State
2020,Maryland
2020,Louisville
2020,Pittsburgh
2020,Indiana
2020,Nebraska
2020,Northern Illinois
2020,Georgia Southern
2020,Liberty
2020,Houston
2020,Middle Tennessee
2020,Memphis
2020,Kentucky
2020,Georgia Tech
2020,Arizona State
2020,Boston College
2020,North Carolina
2020,Coastal Carolina
2020,Georgia State
2020,LSU
2020,North Texas
2020,Clemson
2020,Fresno State
2020,Arkansas
2020,Florida State
2021,Jacksonville State
2021,Akron
2021,Air Force
2021,App State
2021,Arizona
2021,Arkansas State
2021,Auburn
2021,Ball State
2021,Baylor
2021,Boise State
2021,Buffalo
2021,BYU
2021,California
2021,Central Michigan
2021,Charlotte
2021,Cincinnati
2021,Colorado
2021,Colorado State
2021,Duke
2021,East Carolina
2021,Eastern Michigan
2021,Florida
2021,Florida Atlantic
2021,South Alabama
2021,Bowling Green
2021,UL Monroe
2021,Georgia
2021,Hawai'i
2021,Iowa
2021,Iowa State
2021,Kansas
2021,Kent State
2021,Louisiana
2021,Louisiana Tech
2021,Marshall
2021,Miami
2021,Miami (OH)
2021,Michigan
2021,Michigan State
2021,Mississippi State
2021,Navy
2021,NC State
2021,Nevada
2021,New Mexico State
2021,Notre Dame
2021,Ohio
2021,Ohio State
2021,Oklahoma State
2021,Ole Miss
2021,Oregon
2021,Oregon State
2021,Penn State
2021,Purdue
2021,Rice
2021,Rutgers
2021,SMU
2021,New Mexico
2021,South Carolina
2021,Southern Miss
2021,South Florida
2021,Stanford
2021,TCU
2021,Temple
2021,Tennessee
2021,Texas A&M
2021,Texas Tech
2021,Toledo
2021,UAB
2021,UCLA
2021,Massachusetts
2021,UNLV
2021,USC
2021,UTSA
2021,Virginia
2021,Virginia Tech
2021,Washington
2021,Western Michigan
2021,Wisconsin
2021,Wyoming
2021,San Diego State
2021,Utah
2021,Wake Forest
2021,UCF
2021,Tulane
2021,Tulsa
2021,Texas
2021,West Virginia
2021,Vanderbilt
2021,Washington State
2021,Syracuse
2021,Troy
2021,Utah State
2021,Texas State
2021,Western Kentucky
2021,UTEP
2021,Northwestern
2021,Florida International
2021,Missouri
2021,Minnesota
2021,Illinois
2021,San José State
2021,Oklahoma
2021,Army
2021,Alabama
2021,Kansas State
2021,Maryland
2021,Louisville
2021,Pittsburgh
2021,Indiana
2021,Nebraska
2021,Northern Illinois
2021,Georgia Southern
2021,Liberty
2021,Houston
2021,Middle Tennessee
2021,Memphis
2021,Kentucky
2021,Georgia Tech
2021,Arizona State
2021,UConn
2021,Boston College
2021,North Carolina
2021,Old Dominion
2021,Coastal Carolina
2021,Georgia State
2021,Kennesaw State
2021,LSU
2021,North Texas
2021,Clemson
2021,Fresno State
2021,Arkansas
2021,Florida State
2022,Sam Houston
2022,Jacksonville State
2022,Akron
2022,Air Force
2022,App State
2022,Arizona
2022,Arkansas State
2022,Auburn
2022,Ball State
2022,Baylor
2022,Boise State
2022,Buffalo
2022,BYU
2022,California
2022,Central Michigan
2022,Charlotte
2022,Cincinnati
2022,Colorado
2022,Colorado State
2022,Duke
2022,East Carolina
2022,Eastern Michigan
2022,Florida
2022,Florida Atlantic
2022,South Alabama
2022,Bowling Green
2022,UL Monroe
2022,Georgia
2022,Hawai'i
2022,Iowa
2022,Iowa State
2022,James Madison
2022,Kansas
2022,Kent State
2022,Louisiana
2022,Louisiana Tech
2022,Marshall
2022,Miami
2022,Miami (OH)
2022,Michigan
2022,Michigan State
2022,Mississippi State
2022,Navy
2022,NC State
2022,Nevada
2022,New Mexico State
2022,Notre Dame
2022,Ohio
2022,Ohio State
2022,Oklahoma State
2022,Ole Miss
2022,Oregon
2022,Oregon State
2022,Penn State
2022,Purdue
2022,Rice
2022,Rutgers
2022,SMU
2022,New Mexico
2022,South Carolina
2022,Southern Miss
2022,South Florida
2022,Stanford
2022,TCU
2022,Temple
2022,Tennessee
2022,Texas A&M
2022,Texas Tech
2022,Toledo
2022,UAB
2022,UCLA
2022,Massachusetts
2022,UNLV
2022,USC
2022,UTSA
2022,Virginia
2022,Virginia Tech
2022,Washington
2022,Western Michigan
2022,Wisconsin
2022,Wyoming
2022,San Diego State
2022,Utah
2022,Wake Forest
2022,UCF
2022,Tulane
2022,Tulsa
2022,Texas
2022,West Virginia
2022,Vanderbilt
2022,Washington State
2022,Syracuse
2022,Troy
2022,Utah State
2022,Texas State
2022,Western Kentucky
2022,UTEP
2022,Northwestern
2022,Florida International
2022,Missouri
2022,Minnesota
2022,Illinois
2022,San José State
2022,Oklahoma
2022,Army
2022,Alabama
2022,Kansas State
2022,Maryland
2022,Louisville
2022,Pittsburgh
2022,Indiana
2022,Nebraska
2022,Northern Illinois
2022,Georgia Southern
2022,Liberty
2022,Houston
2022,Middle Tennessee
2022,Memphis
2022,Kentucky
2022,Georgia Tech
2022,Arizona State
2022,UConn
2022,Boston College
2022,North Carolina
2022,Old Dominion
2022,Coastal Carolina
2022,Georgia State
2022,Kennesaw State
2022,LSU
2022,North Texas
2022,Clemson
2022,Fresno State
2022,Arkansas
2022,Florida State
2023,Sam Houston
2023,Jacksonville State
2023,Akron
2023,Air Force
2023,App State
2023,Arizona
2023,Arkansas State
2023,Auburn
2023,Ball State
2023,Baylor
2023,Boise State
2023,Buffalo
2023,BYU
2023,California
2023,Central Michigan
2023,Charlotte
2023,Cincinnati
2023,Colorado
2023,Colorado State
2023,Duke
2023,East Carolina
2023,Eastern Michigan
2023,Florida
2023,Florida Atlantic
2023,South Alabama
2023,Bowling Green
2023,UL Monroe
2023,Georgia
2023,Hawai'i
2023,Iowa
2023,Iowa State
2023,James Madison
2023,Kansas
2023,Kent State
2023,Louisiana
2023,Louisiana Tech
2023,Marshall
2023,Miami
2023,Miami (OH)
2023,Michigan
2023,Michigan State
2023,Mississippi State
2023,Navy
2023,NC State
2023,Nevada
2023,New Mexico State
2023,Notre Dame
2023,Ohio
2023,Ohio State
2023,Oklahoma State
2023,Ole Miss
2023,Oregon
2023,Oregon State
2023,Penn State
2023,Purdue
2023,Rice
2023,Rutgers
2023,SMU
2023,New Mexico
2023,South Carolina
2023,Southern Miss
2023,South Florida
2023,Stanford
2023,TCU
2023,Temple
2023,Tennessee
2023,Texas A&M
2023,Texas Tech
2023,Toledo
2023,UAB
2023,UCLA
2023,Massachusetts
2023,UNLV
2023,USC
2023,UTSA
2023,Virginia
2023,Virginia Tech
2023,Washington
2023,Western Michigan
2023,Wisconsin
2023,Wyoming
2023,San Diego State
2023,Utah
2023,Wake Forest
2023,UCF
2023,Tulane
2023,Tulsa
2023,Texas
2023,West Virginia
2023,Vanderbilt
2023,Washington State
2023,Syracuse
2023,Troy
2023,Utah State
2023,Texas State
2023,Western Kentucky
2023,UTEP
2023,Northwestern
2023,Florida International
2023,Missouri
2023,Minnesota
2023,Illinois
2023,San José State
2023,Oklahoma
2023,Army
2023,Alabama
2023,Kansas State
2023,Maryland
2023,Louisville
2023,Pittsburgh
2023,Indiana
2023,Nebraska
2023,Northern Illinois
2023,Georgia Southern
2023,Liberty
2023,Houston
2023,Middle Tennessee
2023,Memphis
2023,Kentucky
2023,Georgia Tech
2023,Arizona State
2023,UConn
2023,Boston College
2023,North Carolina
2023,Old Dominion
2023,Coastal Carolina
2023,Georgia State
2023,Kennesaw State
2023,LSU
2023,North Texas
2023,Clemson
2023,Fresno State
2023,Arkansas
2023,Florida State
2024,Sam Houston
2024,Jacksonville State
2024,Akron
2024,Air Force
2024,App State
2024,Arizona
2024,Arkansas State
2024,Auburn
2024,Ball State
2024,Baylor
2024,Boise State
2024,Buffalo
2024,BYU
2024,California
2024,Central Michigan
2024,Charlotte
2024,Cincinnati
2024,Colorado
2024,Colorado State
2024,Duke
2024,East Carolina
2024,Eastern Michigan
2024,Florida
2024,Florida Atlantic
2024,South Alabama
2024,Bowling Green
2024,UL Monroe
2024,Georgia
2024,Hawai'i
2024,Iowa
2024,Iowa State
2024,James Madison
2024,Kansas
2024,Kent State
2024,Louisiana
2024,Louisiana Tech
2024,Marshall
2024,Miami
2024,Miami (OH)
2024,Michigan
2024,Michigan State
2024,Mississippi State
2024,Navy
2024,NC State
2024,Nevada
2024,New Mexico State
2024,Notre Dame
2024,Ohio
2024,Ohio State
2024,Oklahoma State
2024,Ole Miss
2024,Oregon
2024,Oregon State
2024,Penn State
2024,Purdue
2024,Rice
2024,Rutgers
2024,SMU
2024,New Mexico
2024,South Carolina
2024,Southern Miss
2024,South Florida
2024,Stanford
2024,TCU
2024,Temple
2024,Tennessee
2024,Texas A&M
2024,Texas Tech
2024,Toledo
2024,UAB
2024,UCLA
2024,Massachusetts
2024,UNLV
2024,USC
2024,UTSA
2024,Virginia
2024,Virginia Tech
2024,Washington
2024,Western Michigan
2024,Wisconsin
2024,Wyoming
2024,San Diego State
2024,Utah
2024,Wake Forest
2024,UCF
2024,Tulane
2024,Tulsa
2024,Texas
2024,West Virginia
2024,Vanderbilt
2024,Washington State
2024,Syracuse
2024,Troy
2024,Utah State
2024,Texas State
2024,Western Kentucky
2024,UTEP
2024,Northwestern
2024,Florida International
2024,Missouri
2024,Minnesota
2024,Illinois
2024,San José State
2024,Oklahoma
2024,Army
2024,Alabama
2024,Kansas State
2024,Maryland
2024,Louisville
2024,Pittsburgh
2024,Indiana
2024,Nebraska
2024,Northern Illinois
2024,Georgia Southern
2024,Liberty
2024,Houston
2024,Middle Tennessee
2024,Memphis
2024,Kentucky
2024,Georgia Tech
2024,Arizona State
2024,UConn
2024,Boston College
2024,North Carolina
2024,Old Dominion
2024,Coastal Carolina
2024,Georgia State
2024,Kennesaw State
2024,LSU
2024,North Texas
2024,Clemson
2024,Fresno State
2024,Arkansas
2024,Florida State
2025,Sam Houston
2025,Delaware
2025,Jacksonville State
2025,Missouri State
2025,Akron
2025,Air Force
2025,App State
2025,Arizona
2025,Arkansas State
2025,Auburn
2025,Ball State
2025,Baylor
2025,Boise State
2025,Buffalo
2025,BYU
2025,California
2025,Central Michigan
2025,Charlotte
2025,Cincinnati
2025,Colorado
2025,Colorado State
2025,Duke
2025,East Carolina
2025,Eastern Michigan
2025,Florida
2025,Florida Atlantic
2025,South Alabama
2025,Bowling Green
2025,UL Monroe
2025,Georgia
2025,Hawai'i
2025,Iowa
2025,Iowa State
2025,James Madison
2025,Kansas
2025,Kent State
2025,Louisiana
2025,Louisiana Tech
2025,Marshall
2025,Miami
2025,Miami (OH)
2025,Michigan
2025,Michigan State
2025,Mississippi State
2025,Navy
2025,NC State
2025,Nevada
2025,New Mexico State
2025,Notre Dame
2025,Ohio
2025,Ohio State
2025,Oklahoma State
2025,Ole Miss
2025,Oregon
2025,Oregon State
2025,Penn State
2025,Purdue
2025,Rice
2025,Rutgers
2025,SMU
2025,New Mexico
2025,South Carolina
2025,Southern Miss
2025,South Florida
2025,Stanford
2025,TCU
2025,Temple
2025,Tennessee
2025,Texas A&M
2025,Texas Tech
2025,Toledo
2025,UAB
2025,UCLA
2025,Massachusetts
2025,UNLV
2025,USC
2025,UTSA
2025,Virginia
2025,Virginia Tech
2025,Washington
2025,Western Michigan
2025,Wisconsin
2025,Wyoming
2025,San Diego State
2025,Utah
2025,Wake Forest
2025,UCF
2025,Tulane
2025,Tulsa
2025,Texas
2025,West Virginia
2025,Vanderbilt
2025,Washington State
2025,Syracuse
2025,Troy
2025,Utah State
2025,Texas State
2025,Western Kentucky
2025,UTEP
2025,Northwestern
2025,Florida International
2025,Missouri
2025,Minnesota
2025,Illinois
2025,San José State
2025,Oklahoma
2025,Army
2025,Alabama
2025,Kansas State
2025,Maryland
2025,Louisville
2025,Pittsburgh
2025,Indiana
2025,Nebraska
2025,Northern Illinois
2025,Georgia Southern
2025,Liberty
2025,Houston
2025,Middle Tennessee
2025,Memphis
2025,Kentucky
2025,Georgia Tech
2025,Arizona State
2025,UConn
2025,Boston College
2025,North Carolina
2025,Old Dominion
2025,Coastal Carolina
2025,Georgia State
2025,Kennesaw State
2025,LSU
2025,North Texas
2025,Clemson
2025,Fresno State
2025,Arkansas
2025,Florida State
